AMENITY_LEMMA,AMENITY_CODE,HUMAN_LABEL
blend,A521,remove
blender,A635,blender
blends,A1122,remove
bleu,A4785,remove
blind,A3048,remove
bliss,A1157,remove
blnk,A3120,remove
block,A1221,remove
blocker,A3909,remove
bloem,A705,remove
blomberg,A1161,remove
blonde,A4472,remove
blondi,A3992,remove
blood,A3358,remove
bloom,A504,remove
bloomberg,A1489,remove
blossoms,A674,remove
blu,A1058,remove
bluetooth,A914,bluetooth
bluetoothaux,A4816,bluetooth
bluetoothua,A3264,bluetooth
bluewater,A4595,remove
bluo,A4185,remove
bn,A2009,remove
bo,A3105,remove
board,A281,remove
boat,A484,remove
boating,A4840,remove
bocce,A783,remove
bocsh,A4453,remove
bod,A4042,remove
bode,A3145,remove
bodie,A4082,remove
body,A149,remove
bodycare,A1297,remove
bodycology,A4154,remove
bodyography,A570,remove
bodyshop,A1939,remove
bodysoap,A2165,bath supplies
bodywash,A483,bath supplies
bodywashtresemme,A1456,remove
bodywork,A1367,remove
bodyworkus,A2264,remove
boil,A3038,remove
boilage,A3504,remove
boise,A1271,remove
boko,A3679,remove
bolero,A4622,remove
bomaker,A1596,remove
bomb,A4012,remove
bomer,A5010,remove
bondbar,A4402,remove
bongo,A3054,remove
bonnard,A3123,remove
bonner,A574,remove
bonners,A1551,remove
bonnerus,A4330,remove
bonnor,A4298,remove
bontanical,A4265,remove
boo,A1556,remove
boobox,A4505,remove
booday,A5002,remove
boof,A2432,remove
boogie,A2597,remove
book,A633,remove
booking,A1422,remove
bookshelf,A922,sound system
boom,A491,remove
boombox,A1736,sound system
booner,A3964,remove
boost,A1123,remove
booster,A602,remove
boosting,A3413,remove
bos,A4425,remove
bosch,A1413,remove
bose,A753,remove
bosesono,A4761,remove
boseua,A2748,remove
boseuae,A3903,remove
bosh,A1065,remove
boss,A1432,remove
boston,A1082,remove
bosue,A1833,remove
botagia,A3673,remove
botalab,A2433,remove
botancical,A4264,remove
botanic,A738,remove
botanica,A1235,remove
botanical,A351,remove
botanican,A2662,remove
botanicauae,A3899,remove
botanichearth,A1984,remove
botanika,A3346,remove
botany,A1757,remove
botega,A3723,remove
botegga,A3669,remove
botegia,A3726,remove
botin,A3526,remove
botle,A1506,remove
botonic,A1371,remove
bottega,A3731,remove
bottle,A482,remove
bottom,A555,remove
botuenica,A4986,remove
boulud,A3805,remove
bourbon,A2310,remove
bout,A3609,remove
boutique,A2906,remove
bower,A898,remove
bowers,A2483,remove
bowl,A3060,remove
bowmaker,A4897,remove
box,A1162,remove
boy,A3079,remove
boytone,A1696,remove
boze,A2735,remove
br,A541,remove
brabd,A2542,remove
brand,A338,remove
branding,A955,remove
brandnew,A4649,remove
brands,A319,remove
brandsmild,A3651,remove
brandt,A3366,remove
brandvary,A1923,remove
branner,A4633,remove
brastemp,A2950,remove
brauner,A2883,remove
bravia,A3605,remove
bravo,A553,remove
brawner,A2973,remove
bread,A207,remove
breakage,A3240,remove
breakfast,A30,remove
breat,A3592,remove
breath,A5009,remove
breck,A1147,remove
breekman,A3479,remove
breez,A4432,remove
breeze,A1055,remove
brend,A2674,remove
brenner,A4119,remove
brennerus,A3880,remove
brentwood,A4539,remove
breville,A257,remove
brick,A4626,remove
brickell,A4064,remove
bridgeo,A935,remove
brielle,A2889,remove
brieville,A4176,remove
bring,A3259,remove
briogeo,A952,remove
brita,A2834,remove
britle,A3199,remove
brizet,A2114,remove
brnd,A624,remove
brohmer,A1193,remove
broil,A826,remove
broiler,A992,oven
broiling,A1559,remove
broils,A4790,remove
broker,A2671,remove
bromberg,A3782,remove
bromer,A2923,remove
brommer,A2803,remove
bron,A2946,remove
broner,A765,remove
bronet,A3369,remove
bronner,A238,remove
bronners,A3962,remove
bronnershemp,A4780,remove
bronnerus,A1904,remove
bronnor,A4788,remove
bronzer,A2012,remove
bronzerus,A2807,remove
brooksto,A1667,remove
brookstone,A1524,remove
brooner,A4371,remove
brother,A2361,remove
brough,A2069,remove
browner,A3777,remove
browns,A4129,remove
bruket,A3596,remove
brush,A2508,remove
bs,A4394,remove
bt,A4726,remove
btf,A1697,remove
btu,A2093,remove
bubble,A522,remove
buckler,A3379,remove
buddha,A1519,remove
bueco,A4871,remove
buena,A2294,remove
buff,A1007,remove
buffet,A1515,breakfast
build,A367,remove
building,A44,remove
builtin,A3451,remove
bulb,A2307,remove
bulgari,A2438,remove
bulk,A1731,remove
bum,A1589,remove
bumble,A1301,remove
bunk,A4594,remove
burger,A3103,remove
burne,A4841,remove
burner,A240,remove
burnergriddle,A2366,remove
burners,A4575,remove
burnerstoaster,A4692,remove
burt,A605,remove
business,A2616,remove
buster,A3775,remove
butane,A1067,remove
butler,A2914,remove
butter,A402,remove
butternn,A4955,remove
button,A3089,remove
buy,A592,remove
bw,A2453,remove
byeli,A3570,remove
byo,A2180,remove
byproduct,A370,remove
byredo,A3407,remove
byredue,A3406,remove
c,A1508,remove
cabana,A709,remove
cabello,A1742,remove
cabelo,A3856,remove
cabide,A3858,remove
cabinet,A451,remove
cabinets,A4569,remove
cable,A227,remove
cabre,A1919,remove
cacao,A2722,remove
cada,A4229,remove
cafe,A819,remove
cafeu,A2734,remove
caffeine,A3242,remove
caffue,A2696,remove
cafuc,A1211,remove
cafue,A2246,remove
cage,A1328,remove
cake,A1628,remove
calandra,A2224,remove
calda,A2684,remove
calendula,A958,remove
california,A3370,remove
call,A2119,remove
calphalon,A1126,remove
camamu,A4333,remove
camay,A4481,remove
cambiado,A2292,remove
cambridge,A1428,remove
camelia,A4365,remove
camellia,A3713,remove
camera,A337,remove
camille,A4089,remove
camo,A4072,remove
camp,A1066,remove
camper,A2741,remove
campo,A4826,remove
can,A3940,remove
canache,A3436,remove
canche,A4296,remove
candle,A2654,remove
candlework,A2657,remove
candy,A3297,remove
cane,A3532,remove
canoe,A2015,remove
cant,A2322,remove
canteenm,A4809,remove
cantu,A1307,remove
cantuf,A4162,remove
canva,A4441,remove
canyon,A4257,remove
capability,A929,remove
capacity,A398,remove
capella,A4977,remove
capello,A3147,remove
capital,A925,remove
car,A1705,remove
cara,A4106,remove
carbon,A13,remove
carbonio,A2688,remove
card,A18,remove
cardon,A2462,remove
care,A301,remove
caredfor,A2880,remove
caree,A1156,remove
caress,A749,remove
caresss,A3021,remove
carina,A1356,remove
carol,A3014,remove
caroleus,A3901,remove
carolus,A2448,remove
carport,A290,remove
carress,A3320,remove
carrier,A4482,remove
cart,A1087,remove
carter,A3961,remove
casa,A953,remove
casatune,A2055,remove
case,A1181,remove
casino,A2258,remove
casita,A2238,remove
cassette,A1068,remove
casswellmassey,A4879,remove
cast,A1069,remove
castco,A4712,remove
castel,A2996,remove
castelbel,A4226,remove
castile,A239,remove
castille,A282,remove
castle,A2624,remove
castor,A3461,remove
cat,A36,pets
cataphlon,A4320,remove
catv,A2886,remove
caunter,A4458,remove
cavaliere,A4847,remove
caviar,A2466,remove
cavo,A2702,remove
cayf,A1695,remove
caynel,A3939,remove
cb,A2587,remove
ccc,A4435,remove
cd,A1427,remove
cddvd,A4922,remove
cdfm,A2732,remove
cdj,A2174,remove
cdradio,A1469,sound system
cds,A2909,remove
cdusp,A562,remove
cedar,A1462,remove
cei,A2268,remove
ceiling,A155,remove
celery,A2874,remove
cell,A2728,remove
cellar,A1335,remove
cellphone,A4947,remove
center,A832,remove
centra,A3363,remove
century,A2085,remove
cereal,A3061,remove
cero,A1749,remove
cerwin,A4191,remove
cetaphil,A1089,remove
cetaphyl,A4355,remove
cf,A2473,remove
cffreezer,A3721,freezer
cfx,A2827,remove
ch,A4904,remove
chair,A64,remove
chamber,A1023,remove
chambersvintage,A838,remove
chamomile,A959,remove
champagne,A733,remove
champufa,A2194,remove
chandrika,A2891,remove
chanel,A4460,remove
change,A1153,remove
changescostco,A2968,remove
changesu,A2528,remove
channel,A441,remove
chapel,A2252,remove
charcoal,A647,bbq
charge,A412,remove
charger,A112,remove
chateau,A1681,remove
chavez,A3394,remove
check,A2308,remove
checkin,A24,remove
checkout,A137,remove
chef,A584,remove
cheff,A4959,remove
chefman,A5000,remove
chefmate,A3270,remove
chefn,A4723,remove
chefsstove,A4198,remove
cheft,A2372,remove
chefud,A3185,remove
chefus,A1275,remove
cheif,A3403,remove
chel,A2156,remove
chemical,A1216,remove
cherry,A1976,remove
chest,A2742,remove
chet,A2099,remove
chi,A1016,remove
chicken,A2754,remove
chief,A4182,remove
child,A1199,remove
childrens,A56,remove
childrenus,A209,remove
chill,A2365,remove
chiller,A1965,remove
china,A2276,remove
chladniudka,A1871,remove
chlorox,A3953,remove
choice,A601,remove
choices,A4508,remove
choose,A2451,remove
chos,A4818,remove
chromacomfort,A1789,remove
chrome,A4236,remove
chromecast,A255,remove
churrascaria,A3821,remove
ciao,A1659,remove
ciel,A3093,remove
cigar,A3043,cigars
cinebeam,A4146,remove
cinema,A1236,cinema
cinnamon,A2871,remove
ciroa,A4221,remove
cisco,A2862,remove
citizenm,A1975,remove
citrus,A844,remove
citrusaloe,A3674,remove
citrusmint,A1343,remove
city,A639,remove
ck,A3473,remove
clairol,A2585,remove
clamp,A609,remove
clara,A1987,remove
clarify,A4028,remove
clarity,A4260,remove
class,A1319,remove
classe,A4476,remove
classic,A4543,remove
claus,A4102,remove
clay,A3639,remove
clean,A272,remove
cleancult,A4654,remove
cleaner,A2794,remove
cleaning,A136,remove
cleanse,A2241,remove
cleanser,A511,remove
cleansergrapefruit,A1360,remove
cleansing,A420,remove
clearance,A97,remove
cleasning,A4452,remove
clinton,A3797,remove
clip,A1154,remove
clnbnb,A2765,remove
clock,A968,remove
clockspeaker,A1637,remove
clorox,A2414,remove
closet,A280,remove
clot,A2990,remove
clothes,A1336,remove
clothing,A268,remove
cloudm,A3826,remove
club,A867,remove
cn,A4427,remove
co,A5006,remove
coast,A957,remove
coatco,A2772,remove
coci,A3997,remove
cocina,A2043,remove
cocktail,A3873,bar
coco,A1382,remove
cocoa,A1125,remove
cocomagictea,A3566,remove
cocomango,A2933,remove
coconout,A1700,remove
coconut,A677,remove
coconutcoffee,A2673,remove
coconutmango,A2944,remove
code,A4256,remove
coditioner,A4533,remove
coffee,A80,remove
cofre,A3855,remove
coil,A2936,remove
coiltype,A360,remove
coldspot,A3101,remove
colecciufn,A2148,remove
colection,A2040,remove
coleman,A751,remove
collagen,A1386,remove
collection,A663,remove
college,A593,remove
collegen,A3511,remove
color,A407,remove
coloradue,A2484,remove
colorant,A4926,remove
colorsafe,A4996,remove
column,A4456,remove
com,A4113,remove
combi,A4752,remove
combination,A1099,remove
combine,A2000,remove
combisteam,A3385,remove
combo,A798,remove
comfee,A2143,remove
comforts,A153,remove
comida,A2235,remove
command,A2839,remove
commercialstyle,A975,remove
community,A719,remove
compact,A2902,remove
compactno,A4466,remove
compactor,A256,remove
companion,A3467,remove
company,A476,remove
compare,A3365,remove
compartment,A436,remove
complementary,A4695,remove
complementry,A1142,remove
complex,A2336,remove
compliant,A2938,remove
compliment,A3666,remove
complimentary,A2151,remove
componant,A2756,remove
component,A1543,remove
compound,A5005,remove
compressor,A2302,remove
computer,A198,remove
computers,A4600,remove
con,A2422,remove
conair,A3505,remove
concept,A3357,remove
concert,A1015,remove
concierge,A804,remove
cond,A1384,remove
condiment,A2550,remove
conditiner,A1220,bath supplies
conditinoer,A3037,bath supplies
condition,A1405,bath supplies
conditionar,A2774,bath supplies
conditione,A1825,bath supplies
conditioner,A211,bath supplies
conditionerinshampoo,A2778,bath supplies
conditionerprotein,A2445,bath supplies
conditioners,A1642,bath supplies
conditionersuave,A4725,bath supplies
conditionerud,A4535,remove
conditioning,A4,remove
conditionner,A3271,remove
conditionor,A3148,remove
conditoner,A919,remove
condiviso,A2691,remove
condizionata,A2698,remove
condtilner,A3890,remove
condtioner,A1265,remove
conduction,A4644,remove
confection,A1549,remove
conference,A2602,remove
congo,A2260,remove
conitioner,A4824,remove
connect,A1013,remove
connection,A118,remove
connectivity,A365,remove
connector,A3116,remove
conner,A4834,remove
consciousud,A4080,remove
conserv,A4115,remove
conservator,A3350,remove
consider,A4382,remove
console,A70,remove
consoles,A5007,remove
consul,A3176,remove
consumable,A4001,remove
consumer,A2090,remove
consumption,A1486,remove
contact,A3896,remove
container,A858,remove
content,A1441,remove
control,A1313,remove
controller,A4493,remove
controls,A1916,remove
convection,A185,remove
convectionair,A1232,remove
convectionbroiler,A4305,remove
convectionga,A2240,remove
convectionmicrowave,A1029,remove
convectiontoaster,A1591,remove
convenction,A4331,remove
convenience,A1652,remove
convention,A1366,remove
conventionair,A2509,remove
convetion,A4637,remove
cook,A85,remove
cookedtoorder,A3063,breakfast
cooker,A695,remove
cookie,A1138,remove
cooking,A1437,remove
cookstove,A3231,oven
cooktop,A413,oven
cooktopconvection,A2419,remove
cooktoppan,A4468,oven
cookware,A4444,remove
cool,A1402,remove
cooler,A183,remove
cooling,A2423,remove
coolvox,A1376,remove
copier,A2610,remove
copper,A2816,remove
cord,A2507,remove
corner,A126,remove
cornue,A1296,remove
cornufe,A1943,remove
cortile,A2675,remove
cosco,A1981,remove
cosmeceutical,A1768,remove
cosmetic,A3179,remove
cosmica,A1410,remove
cosmo,A675,remove
cosori,A4109,remove
cost,A715,remove
costco,A817,remove
costcokirkland,A1131,remove
costcopantene,A1113,remove
cosumption,A1484,remove
cosy,A1415,remove
cota,A1800,remove
cotouch,A631,remove
cotsco,A2858,remove
cotta,A1799,remove
cottage,A1509,remove
cotton,A911,remove
couch,A1807,remove
cougar,A2150,remove
counter,A994,remove
counterdepth,A3549,remove
counterheight,A322,remove
countertop,A241,remove
country,A818,remove
couple,A2666,remove
course,A638,remove
court,A772,remove
courtesy,A3785,remove
courtyard,A2601,remove
cover,A619,remove
cow,A3482,remove
cowash,A3967,remove
cowoman,A3630,remove
cozinha,A3864,remove
crab,A2284,remove
crabtree,A2076,remove
craft,A314,remove
craftsman,A352,remove
cream,A510,remove
creamy,A1784,remove
creation,A4130,remove
crebe,A2647,remove
creek,A761,remove
creekus,A4994,remove
creme,A4578,remove
cremo,A1940,remove
cress,A1999,remove
creston,A4912,remove
crestron,A3098,remove
crew,A1393,remove
crib,A60,remove
criterion,A1969,remove
crock,A2493,remove
crocodile,A3799,remove
croquet,A2606,remove
crosby,A2340,remove
crosley,A3065,remove
crosleyradioc,A4823,remove
crosly,A2525,remove
crow,A2825,remove
crowsley,A3663,remove
croxly,A3996,remove
cruelty,A1132,remove
crueltyfree,A586,remove
cruetlyfree,A4375,remove
cruisinart,A4745,remove
crush,A2177,remove
cry,A1978,remove
csl,A2261,remove
ct,A3977,remove
ctddpn,A4496,remove
cu,A478,remove
cuarto,A1771,remove
cub,A3791,remove
cube,A1124,remove
cubft,A1847,remove
cucina,A2707,remove
cucinare,A2704,remove
cucumber,A533,remove
cuedtrico,A1739,remove
cuerpo,A4212,remove
cuft,A706,remove
cuisenart,A4334,remove
cuisimarte,A4168,remove
cuisinart,A399,remove
cuisinbe,A3378,remove
cuisine,A3324,remove
cuisineart,A3692,remove
culture,A1088,remove
cup,A2824,remove
cupboard,A2743,remove
curl,A1028,remove
currant,A4167,remove
cusimax,A1460,remove
cusinart,A317,remove
custom,A3888,remove
cutft,A4393,remove
cv,A2764,remove
cvspharmacy,A4214,remove
d,A3833,remove
da,A2712,remove
dacker,A4388,remove
dacor,A1063,remove
daewoo,A1575,remove
daikin,A2787,remove
daikon,A2926,remove
dail,A1783,remove
dali,A1096,remove
damage,A2882,remove
damour,A3965,remove
damsng,A3766,remove
danby,A2380,remove
dandruff,A545,remove
danip,A3633,remove
danop,A3518,remove
danyo,A3067,remove
dat,A2629,remove
date,A3787,remove
daughter,A2449,remove
davinci,A4798,remove
davine,A258,remove
day,A179,remove
dazur,A4390,remove
dc,A529,remove
ddfbb,A3191,remove
de,A2008,remove
deal,A2299,remove
decibel,A2418,remove
deck,A792,remove
decker,A717,remove
deco,A1450,remove
decor,A2368,remove
dedicato,A2680,remove
deeper,A3310,remove
defense,A1701,remove
definition,A4971,remove
degree,A2100,remove
degrees,A3304,remove
delicen,A3699,remove
delicon,A2592,remove
delight,A2400,remove
delleson,A3469,remove
delof,A4266,remove
delon,A4491,remove
deluxe,A531,remove
denmark,A4289,remove
denon,A894,remove
denonheo,A3724,remove
deodorizer,A4307,remove
departure,A4328,remove
depend,A2163,remove
deposit,A2017,remove
depth,A1302,remove
derm,A3561,remove
derma,A3733,remove
dermasil,A3876,remove
dermatologist,A3138,remove
dermotology,A1001,remove
desconozco,A1710,remove
description,A2530,remove
deser,A3632,remove
desert,A1054,remove
design,A2153,remove
designer,A1538,remove
desk,A305,remove
deskdoorperson,A144,remove
desktop,A4859,remove
dessert,A1829,remove
det,A1507,remove
detail,A1467,remove
detangler,A1150,remove
detector,A12,smoke detector
detektor,A1859,smoke detector
detergent,A1602,remove
detox,A4527,remove
dettol,A4023,remove
deva,A1290,remove
devialet,A3019,remove
device,A889,remove
devon,A1255,remove
dew,A3930,remove
di,A2678,remove
dice,A1836,remove
diego,A4561,remove
diferent,A1176,remove
diferente,A3636,remove
differ,A3748,remove
different,A2567,remove
digital,A3657,remove
dimethicone,A1330,remove
dine,A3051,remove
dining,A162,remove
dinnerware,A63,remove
directtechnology,A3548,remove
disc,A2630,remove
disco,A1194,remove
discolor,A3062,remove
discretion,A4128,remove
dish,A83,remove
dishwasher,A107,dishwasher
disinfectant,A2020,remove
disney,A640,remove
dispensador,A4149,remove
dispensary,A4279,remove
dispense,A1752,remove
dispenser,A509,remove
display,A3172,remove
disprnser,A1922,remove
distance,A4100,remove
distancee,A4967,remove
diversity,A1773,remove
diy,A4769,remove
dn,A1518,remove
do,A3689,remove
doap,A4813,remove
dobe,A3887,remove
doc,A4316,remove
doce,A1691,remove
dock,A782,remove
docking,A2855,remove
doctor,A1190,remove
doe,A2249,remove
doesnut,A4031,remove
dog,A9,pets
dolby,A2417,remove
dole,A1706,remove
dollar,A2568,remove
dome,A4596,remove
don,A3312,remove
donation,A4034,remove
dongle,A443,remove
donut,A2190,remove
door,A34,remove
doorice,A3542,remove
doorindoor,A1294,remove
doorman,A54,remove
doorway,A99,remove
dor,A1239,remove
dora,A3593,remove
dorm,A502,remove
doss,A2410,remove
dot,A460,remove
dotalexa,A2555,remove
doterra,A1369,remove
doterro,A3578,remove
dotter,A3577,remove
double,A3653,remove
doubleoven,A3342,oven
dov,A3587,remove
dova,A4039,remove
dove,A245,remove
dovedail,A1900,remove
dovekirklandolay,A3552,remove
doveman,A4892,remove
dovemethod,A3170,remove
dovenivea,A3507,remove
doveoil,A4110,remove
doveolay,A3558,remove
doveoldspice,A4494,remove
doveor,A4095,remove
doveovaypantene,A3906,remove
